Event Name,Game Day,Game Day of Wk,Section,Row,Seat Qty,Acc #,Sale Date,Section Name,Promo Code,Comp,Current Block Price,Sale Day,Net Revenue,,
TML1028,2023-10-28,Sat,100,1,1,11992341,2023-10-14,Club Rinkside,,N,78.25,Sat,74.52,,
TML1028,2023-10-28,Sat,100,1,1,13204621,2023-10-14,Club Rinkside,,N,78.25,Sat,74.52,,
TML1028,2023-10-28,Sat,100,18,2,15827713,2023-10-28,Club Platinum,,N,156.50,Sat,149.05,,
TML1028,2023-10-28,Sat,100,12,2,13425266,2023-10-28,Club Platinum,,N,156.50,Sat,149.05,,
TML1028,2023-10-28,Sat,100,16,1,7834382,2023-10-25,Club Platinum,,N,71.20,Wed,67.81,,
TML1028,2023-10-28,Sat,100,5,2,12244764,2023-10-25,Club Gold,,N,139.00,Wed,132.38,,
TML1028,2023-10-28,Sat,100,5,1,3206526,2023-10-27,Club Gold,,N,69.50,Fri,66.19,,
TML1028,2023-10-28,Sat,100,4,2,10323339,2023-10-21,Club Gold,,N,139.00,Sat,132.38,,
TML1028,2023-10-28,Sat,100,5,2,14266678,2023-10-24,Club Gold,,N,139.00,Tue,132.38,,
TML1028,2023-10-28,Sat,100,3,5,11765656,2023-10-18,Club Gold,,N,347.50,Wed,330.95,,
TML1028,2023-10-28,Sat,100,5,2,7514202,2023-10-27,Club Gold,,N,139.00,Fri,132.38,,
TML1028,2023-10-28,Sat,100,3,4,13370270,2023-10-24,Club Gold,,Y,0.00,Tue,0.00,,
TML1028,2023-10-28,Sat,101,1,2,11042729,2023-10-16,Club Glass,,N,134.50,Mon,128.10,,
TML1028,2023-10-28,Sat,101,1,4,13370270,2023-10-24,Club Glass,,Y,0.00,Tue,0.00,,
TML1028,2023-10-28,Sat,101,1,8,13370270,2023-10-24,Club Glass,,Y,0.00,Tue,0.00,,
TML1028,2023-10-28,Sat,101,11,1,16057006,2023-10-28,Blue Line,,N,58.25,Sat,55.48,,
TML1028,2023-10-28,Sat,101,2,2,15552392,2023-08-31,Blue Line,,N,116.50,Thu,110.95,,
TML1028,2023-10-28,Sat,101,18,2,7855627,2023-10-25,Blue Line,,N,116.50,Wed,110.95,,
TML1028,2023-10-28,Sat,101,15,6,16045518,2023-10-28,Blue Line,,Y,0.00,Sat,0.00,,
TML1028,2023-10-28,Sat,101,2,2,8683657,2023-09-21,Blue Line,,Y,0.00,Thu,0.00,,
TML1028,2023-10-28,Sat,101,2,4,13370270,2023-10-28,Blue Line,,Y,0.00,Sat,0.00,,
TML1028,2023-10-28,Sat,101,17,6,16045518,2023-10-28,Blue Line,,Y,0.00,Sat,0.00,,
TML1028,2023-10-28,Sat,101,18,12,16045518,2023-10-28,Blue Line,,Y,0.00,Sat,0.00,,
TML1028,2023-10-28,Sat,101,19,12,16045518,2023-10-28,Blue Line,,Y,0.00,Sat,0.00,,
TML1028,2023-10-28,Sat,101,8,8,13370270,2023-10-24,Blue Line,,Y,0.00,Tue,0.00,,
TML1028,2023-10-28,Sat,101,12,4,13370270,2023-10-24,Blue Line,,Y,0.00,Tue,0.00,,
