Acc #,Games Attended,Seat Qty, Net Revenue , Most Common Section ,Region,Gender,Age
10921659,20,24," $1,597.86 ", Club Rinkside ,East Toronto (Riverdale),F,27
2693583,18,59," $1,488.21 ", Family Zone ,Etobicoke (Rexdale),F,41
13195933,18,42," $2,351.90 ", Blue Line ,Etobicoke (Rexdale),F,37
11771829,17,18, $407.38 , Family Zone ,Scarborough (STC),F,34
11895945,16,31," $2,495.24 ", Premium ,West Toronto (High Park),F,19
14679510,15,30," $1,470.00 ", Blue Line ,Downtown Toronto (Richmond/Adelaide/King),F,32
14531708,15,34," $1,115.24 ", Defensive Ends ,North York (Lawrence),F,55
1935548,13,38," $2,487.62 ", Club Gold ,Scarborough (Tam O'Shanter),F,41
13247500,12,13, $253.81 , Family Zone ,Downtown Toronto (Church & Wellesley),F,37
14571821,12,46," $1,704.05 ", Defensive Ends ,Downtown Toronto (Richmond/Adelaide/King),F,44
9795943,11,17, $808.10 , Blue Line ,York (Humewood-Cedarvale),F,45
7079184,11,32," $1,690.71 ", Blue Line ,North York (Don Mills),F,56
5269084,11,40," $1,435.71 ", Defensive Ends ,North York (Downsview Northeast),F,42
13039507,11,45," $1,376.78 ", Defensive Ends ,West Toronto (High Park),F,28
9065292,11,24, $640.00 , Defensive Corner - Upper ,Scarborough (Wexford),F,41
10112412,10,21, $802.86 , Defensive Ends ,Downtown Toronto (Christie),F,40
16386298,10,12, $235.24 , Family Zone ,North York (Lawrence),F,46
13810573,10,22, $729.29 , Attacking Corner - Upper ,Scarborough (Malvern),F,38
13321517,10,27, $866.43 , Attacking Corner - Upper ,West Toronto (Parkdale),F,44
14500975,10,14, $357.62 , Family Zone ,West Toronto (Runnymede),F,28
2708865,9,21," $1,061.67 ", Club Glass ,East York (Woodbine Heights),F,32
15552706,9,18, $535.24 , Defensive Ends ,Etobicoke (South Steeles),F,37
15911899,9,18, $603.33 , Attacking Ends ,East Toronto (Studio District),F,35
1299068,9,18, $891.43 , Blue Line ,North York (Downsview West),F,23
13533460,9,17, $655.71 , Attacking Corner ,Downtown Toronto (Chinatown),F,41
13140786,9,22," $1,248.33 ", Blue Line ,Downtown Toronto (Church & Wellesley),F,36
6713585,9,19, $528.81 , Family Zone ,Scarborough (Birch Cliff),F,21
15492721,9,20, $390.00 , Family Zone ,Central Toronto (Yorkville),F,38
